adset_id,campaign_id,age_range,gender,placement,device,daily_budget,bid_strategy,country,language,objective,optimization_goal,billing_event
ADS0001,CMP001,55-64,male,facebook_feed,Android,213.23,cost_cap,US,hi,conversions,PURCHASE,PURCHASE
ADS0002,CMP001,18-24,male,stories,desktop,197.41,lowest_cost,US,en,conversions,PURCHASE,PURCHASE
ADS0003,CMP001,35-44,male,video_feeds,iOS,192.28,cost_cap,US,en,conversions,PURCHASE,PURCHASE
ADS0004,CMP001,45-54,male,video_feeds,desktop,208.99,cost_cap,US,hi,conversions,PURCHASE,PURCHASE
ADS0005,CMP002,35-44,male,instagram_feed,iOS,58.79,lowest_cost,US,en,reach,REACH,IMPRESSIONS
ADS0006,CMP002,65+,male,stories,desktop,59.27,cost_cap,US,hi,reach,REACH,IMPRESSIONS
ADS0007,CMP002,55-64,female,facebook_feed,iOS,58.65,bid_cap,US,hi,reach,REACH,IMPRESSIONS
ADS0008,CMP002,25-34,male,marketplace,iOS,56.81,bid_cap,IN,hi,reach,REACH,IMPRESSIONS
ADS0009,CMP003,45-54,female,instagram_feed,iOS,74.88,cost_cap,US,en,engagement,POST_ENGAGEMENT,IMPRESSIONS
ADS0010,CMP003,25-34,male,instagram_feed,Android,73.15,bid_cap,IN,en,engagement,POST_ENGAGEMENT,IMPRESSIONS
ADS0011,CMP003,25-34,female,marketplace,Android,80.12,lowest_cost,IN,en,engagement,POST_ENGAGEMENT,IMPRESSIONS
ADS0012,CMP003,65+,unknown,reels,iOS,74.14,cost_cap,IN,en,engagement,POST_ENGAGEMENT,IMPRESSIONS
ADS0013,CMP003,35-44,unknown,stories,Android,72.4,cost_cap,US,en,engagement,POST_ENGAGEMENT,IMPRESSIONS
ADS0014,CMP003,55-64,female,marketplace,Android,74.28,cost_cap,US,en,engagement,POST_ENGAGEMENT,IMPRESSIONS
ADS0015,CMP003,65+,female,instagram_feed,iOS,74.35,lowest_cost,US,en,engagement,POST_ENGAGEMENT,IMPRESSIONS
ADS0016,CMP004,45-54,female,marketplace,desktop,195.11,bid_cap,US,hi,conversions,PURCHASE,PURCHASE
ADS0017,CMP004,35-44,unknown,video_feeds,iOS,208.13,lowest_cost,IN,en,conversions,PURCHASE,PURCHASE
ADS0018,CMP004,18-24,male,marketplace,desktop,202.95,bid_cap,US,hi,conversions,PURCHASE,PURCHASE
ADS0019,CMP004,55-64,unknown,instagram_feed,Android,193.1,bid_cap,US,en,conversions,PURCHASE,PURCHASE
ADS0020,CMP004,18-24,male,facebook_feed,Android,218.71,bid_cap,US,en,conversions,PURCHASE,PURCHASE
ADS0021,CMP004,18-24,male,video_feeds,Android,206.94,bid_cap,US,en,conversions,PURCHASE,PURCHASE
ADS0022,CMP005,45-54,female,reels,desktop,210.58,lowest_cost,US,hi,conversions,PURCHASE,PURCHASE
ADS0023,CMP005,35-44,unknown,reels,desktop,198.98,bid_cap,IN,hi,conversions,PURCHASE,PURCHASE
ADS0024,CMP005,65+,female,marketplace,Android,197.55,bid_cap,US,hi,conversions,PURCHASE,PURCHASE
ADS0025,CMP005,25-34,female,instagram_feed,iOS,208.01,cost_cap,IN,hi,conversions,PURCHASE,PURCHASE
ADS0026,CMP005,25-34,unknown,video_feeds,Android,204.63,bid_cap,US,en,conversions,PURCHASE,PURCHASE
ADS0027,CMP006,35-44,male,stories,Android,113.5,cost_cap,IN,hi,leads,LEAD,LEAD
ADS0028,CMP006,55-64,female,instagram_feed,iOS,111.39,bid_cap,US,en,leads,LEAD,LEAD
ADS0029,CMP006,18-24,unknown,video_feeds,Android,112.75,lowest_cost,US,en,leads,LEAD,LEAD
ADS0030,CMP006,45-54,male,facebook_feed,iOS,113.05,bid_cap,IN,hi,leads,LEAD,LEAD
